Course Name,Instructor/Institution,Description,Level,Platform,Course Link,Rating
Teach English Now! Foundational Principles,Arizona State University,"Through a series of engaging metaphors and stories, prospective and current EFL/ESL teachers will identify, summarize, and evaluate 7 basic language learning paradigms.  Learners will be presented information on such foundational principles as motivation, risk taking, two different modes of learning, and balancing the teacher profession.  Learners are also given an understanding of basic techniques founded on those principles, such as teacher talk, looking �ridiculous� in order to lower the affective filter, and networking.   With these foundational principles in mind, ESL/EFL teachers will scrutinize common assumptions about language learning by comparing how they stack up to research-based core principles.",Beginner,Coursera,https://www.coursera.org/learn/english-principles,4.9
Teach English Now! Foundational Principles,Arizona State University,"Through a series of engaging metaphors and stories, prospective and current EFL/ESL teachers will identify, summarize, and evaluate 7 basic language learning paradigms.  Learners will be presented information on such foundational principles as motivation, risk taking, two different modes of learning, and balancing the teacher profession.  Learners are also given an understanding of basic techniques founded on those principles, such as teacher talk, looking �ridiculous� in order to lower the affective filter, and networking.   With these foundational principles in mind, ESL/EFL teachers will scrutinize common assumptions about language learning by comparing how they stack up to research-based core principles.",Beginner,Coursera,https://www.coursera.org/learn/english-principles,4.9
"Python Functions, Files, and Dictionaries",University of Michigan,"This course introduces the dictionary data structure and user-defined functions. You�ll learn about local and global variables, optional and keyword parameter-passing, named functions and lambda expressions. You�ll also learn about Python�s sorted function and how to control the order in which it sorts by passing in another function as an input. For your final project, you�ll read in simulated social media data from a file, compute sentiment scores, and write out .csv files. It covers chapters 10-16 of the textbook �Fundamentals of Python Programming,� which is the accompanying text (optional and free) for this course.  The course is well-suited for you if you have already taken the ""Python Basics"" course and want to gain further fundamental knowledge of the Python language. Together, both courses are geared towards newcomers to Python programming, those who need a refresher on Python basics, or those who may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.  This is a follow-up to the ""Python Basics"" course (course 1 of the Python 3 Programming Specialization), and it is the second of five courses in the specialization.",Intermediate,Coursera,https://www.coursera.org/learn/python-functions-files-dictionaries,4.8
Towards language universals through lexical semantics: introduction to lexical and semantic typology,National Research University Higher School of Economics,"The aim of the course is to obtain the idea of the lexicon as a complex system and to get the methodology of the typological approach to the lexicon cross-linguistically, as well as to learn about the general mechanisms of semantic shift and their typological relevance.  By the end of the course the students should know the basic principles of lexical organization, the main parameters of semantic variations in lexicon, and be able to apply the basic methods of the analysis of lexical meaning to different lexical domains. The course is designed for students of linguistic programs (BA, MA, PhD), as well as for teachers and researchers in the named field.   The course contains the overview of different approaches to the semantic description of lexical items and lexical systems in different languages and discusses the methodology of Moscow Lexical Typology Group (lecture 1). This methodology (�frame approach�) is illustrated with the data of the following domains: aquamotion verbs (lecture 2), verbs of falling (lecture 3), adjectives denoting oldness (lecture  4) and pain metaphors (lecture 5 and 6). The results of the analyses are visualized with specially constructed lexical semantic maps.  Do you have technical problems? Write to us: coursera@hse.ru",Advanced,Coursera,https://www.coursera.org/learn/lexical-semantic-typology,4.4
Global Impact: Cultural Psychology,University of Illinois at Urbana-Champaign,"Globalization has brought dramatic changes to the marketplace. A proliferation of global brands brings diverse cultures to a consumer population that is also growing culturally diverse. This course enables students to understand how globalization changes consumers at a psychological level, and provides tools for imbuing brands with cultural meanings�creating iconic brands�that can resonate with global consumers. The focus is on understanding that culture exists in the mind (e.g., values and beliefs) as well as in the environment (e.g., objects, brands, and institutions), and that globalization creates multi-cultural spaces in contemporary societies. Consumers can use the cultural meaning of a brand to build their identities (i.e., assimilate the brand cultural symbolism) or reject the brand�s cultural meaning(s) (i.e., exclusionary reactions).  The course will help students identify when assimilation vs. exclusionary reactions are more likely to occur, as well as devise strategies for imbuing brands with cultural meanings that can elevate them to the status of cultural icons.   Upon successful completion of this course, you will be able to: �\tUnderstand how globalization impacts the psychological responses of consumers in global markets  �\tUnderstand what culture is and how it manifests itself  �\tUnderstand how brands acquire cultural meanings  �\tPredict consumers� responses to the cultural meanings in brands  �\tIdentify strategies to win-over multi-cultural consumers in globalized markets  �\tLearn how to build an iconic brand  This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Intermediate,Coursera,https://www.coursera.org/learn/cultural-psychology-globalization,4.7
Managing an Agile Team,University of Virginia,"While agile has become the de facto standard for managing digital innovation teams, many wonder if they�re doing it �right�. Twitter is full of jokes about how teams say they do agile but don�t �really� do it. The reality is that getting the most out of agile is less about observing specific procedures and more about how a team focuses and measures their progress.   Rather than just boring you with an accounting of agile methodologies, this course focuses on helping you better charter your team�s focus, definition of success, and practice of agile. While learning about agile mainstays like Scrum, XP, and kanban, you�ll also learn to help your team ask the right questions about how they�re working and facilitate good answers on how agile can help.      As a  Project Management Institute (PMI�) Registered Education Provider, the University of Virginia Darden School of Business has been approved by PMI to issue 20 professional development units (PDUs) for this course, which focuses on core competencies recognized by PMI. (Provider #2122)   This course is supported by the Batten Institute at UVA�s Darden School of Business. The Batten Institute�s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.",Beginner,Coursera,https://www.coursera.org/learn/uva-darden-agile-team-management,4.7
Managing an Agile Team,University of Virginia,"While agile has become the de facto standard for managing digital innovation teams, many wonder if they�re doing it �right�. Twitter is full of jokes about how teams say they do agile but don�t �really� do it. The reality is that getting the most out of agile is less about observing specific procedures and more about how a team focuses and measures their progress.   Rather than just boring you with an accounting of agile methodologies, this course focuses on helping you better charter your team�s focus, definition of success, and practice of agile. While learning about agile mainstays like Scrum, XP, and kanban, you�ll also learn to help your team ask the right questions about how they�re working and facilitate good answers on how agile can help.      As a  Project Management Institute (PMI�) Registered Education Provider, the University of Virginia Darden School of Business has been approved by PMI to issue 20 professional development units (PDUs) for this course, which focuses on core competencies recognized by PMI. (Provider #2122)   This course is supported by the Batten Institute at UVA�s Darden School of Business. The Batten Institute�s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.",Beginner,Coursera,https://www.coursera.org/learn/uva-darden-agile-team-management,4.7
Computer Vision: Neural Transfer Style & Green Screen Effect,Coursera Project Network,"In this 1-hour long project-based course, you will learn how to do Computer Vision on images and videos with OpenCV and Python using Jupyter Notebook. You will understand how Neural Transfer Style works and you'll use it on images and on videos. Finally, you'll learn how to use the Green Screen Effect on your images.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, and OpenCV pre-installed.  Prerequisites: In order to be successful in this project, you should have an intermediate knowledge of Python and OpenCV.   Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/computer-vision-neural-transfer-style-green-screen-effect,4.2
Sensors and Sensor Circuit Design,University of Colorado Boulder,"This course can also be taken for academic credit as ECEA 5340, part of CU Boulder�s Master of Science in Electrical Engineering degree.  After taking this course, you will be able to: ?\tUnderstand how to specify the proper thermal, flow, or rotary sensor for taking real-time process data.  ?\tImplement thermal sensors into an embedded system in both hardware and software. ?\tAdd the sensor and sensor interface into a microprocessor based development kit. ?\tCreate hardware and firmware to process sensor signals and feed data to a microprocessor for further evaluation. ?\tStudy sensor signal noise and apply proper hardware techniques to reduce it to acceptable levels.  You will need to buy the following components to do the two course projects based on the videos in this module. Note that if you have already purchased the PSOC 5LP PROTOTYPING KIT, you do not need to buy it again.  These parts may be purchased off the Digikey web site, www. Digikey.com. Or, you may obtain the specs from the site, and purchase them elsewhere.  These are the part numbers typed out, so you can copy and paste them into the Digikey web site. You will need one of each part.  428-3390-ND NHD-0216BZ-RN-YBW-ND 570-1229-ND A105970CT-ND",Intermediate,Coursera,https://www.coursera.org/learn/sensors-circuit-interface,4.5
Getting Started with SAS Visual Analytics,SAS,"In this course, you learn more about SAS Visual Analytics and the SAS Viya platform, how to access and investigate data in SAS Visual Analytics, and how to prepare data for analysis using SAS Data Studio.",Beginner,Coursera,https://www.coursera.org/learn/preparing-data-sas-va,4.7
Cyber-Physical Systems: Modeling and Simulation,"University of California, Santa Cruz","Cyber-physical systems (CPS for short) combine digital and analog devices, interfaces, networks, computer systems, and the like, with the natural and man-made physical world. The inherent interconnected and heterogeneous combination of behaviors in these systems makes their analysis and design an exciting and challenging task.   CPS: Modeling and Simulation provides you with an introduction to modeling and simulation of cyber-physical systems. The main focus is on models of physical process, finite state machines, computation, converters between physical and cyber variables, and digital networks. The instructor of this course is Ricardo Sanfelice (https://hybrid.soe.ucsc.edu), Associate Professor in the Department of Computer Engineering at the University of California Santa Cruz.",Advanced,Coursera,https://www.coursera.org/learn/cyber-physical-systems-1,4.3
Predict Ideal Diamonds over Good Diamonds using a Random Forest using R,Coursera Project Network,"In this 1-hour long project-based course, you will learn how to (complete a training and test set using an R function, practice looking at data distribution using R and ggplot2, Apply a Random Forest model to the data, and examine the results using RMSE and a Confusion Matrix).    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/predict-ideal-diamonds-with-a-random-forest-using-r,4.8
"The Bible's Prehistory, Purpose, and Political Future",Emory University,"With its walls razed to ground by Babylon�s armies, Jerusalem joined a long line of ancient vanquished cities�from Ur and Nineveh and Persepolis to Babylon itself. While some recovered from the destruction, others did not.  But none responded to political catastrophe by fashioning the kind of elaborate and enduring monument to their own downfall that we find in the Bible. Most conquered populations viewed their subjugation as a source of shame. They consigned it to oblivion, opting instead to extol the golden ages of the past.  The biblical authors in contrast reacted to loss by composing extensive writings that acknowledge collective failure, reflect deeply upon its causes, and discover thereby a ground for collective hope.     Working through colorful biblical and ancient Near Eastern texts, and drawing on an array of comparative examples, the course illustrates the thoroughgoing manner with which biblical authors responded to defeat by advancing a demotic agenda that places the community at the center. The aim of the biblical authors was to create a nation, and they sought to realize this goal via a shared text, which includes stories and songs, wisdom and laws. This corpus of writings belongs, without a doubt, to humanity�s greatest achievements. Whereas the great civilizations of the Near East invested their energies and resources into monuments of stone that could be destroyed by invading armies, the biblical authors left a literary legacy that has been intensively studied until the present day. More important, these authors� visionary response to defeat brought to light a radical new wisdom:  the notion that a people is greater than the state which governs it, and that a community can survive collapse when all of its members can claim a piece of the pie and therefore have a reason to take an active part in its collective life.",Beginner,Coursera,https://www.coursera.org/learn/bible-history,4.7
Introduction to iOS App Development with Swift 5,LearnQuest,Welcome to Introduction to iOS Application Development with Swift 5.  In this course you'll use your Swift skills to create iOS applications.  Some of the things you will learn in this course are:  �\tWrite the code to build your very first iOS application �\tManage screen display with multiple views �\tUse auto layout and the interface builder �\tCreate applications with user interaction �\tDesign a user interface allowing for multiple screen size and direction �\tWrite and execute unit tests to keep your code error-free �\tPerform various calculations using Swift  By the end of this course you will know how to build simple iOS applications and you'll be ready to move on and learn about using tables and data in iOS.,Beginner,Coursera,https://www.coursera.org/learn/ios-app-development-swift-5,4.7
Community Change in Public Health,Johns Hopkins University,"In bringing about behavior change in public health, we often focus on the individual mother, student, or farmer. We should not forget the community structure and norms constrain for encouraging individual health behaviors. This course examines the community context of the changes needed to promote the public�s health. We begin by examining the various definitions of �community� and the processes by which we �diagnose� or seek to understand the structure and characteristics of different types of communities.  An appreciation of community similarities and differences is necessary lest we fall into the trap of designing one-size-fits-all interventions. We need to recognize that no matter that outsiders may view a community as poor or neglected, we can find strengths and capacities for improvement in each community. Identifying community capacities and resources is the first step in facilitating community change. Different practical and philosophical approaches to change and therefore, examined. Specific to the change process is our recognition of the need for communities to participate in the design, implementation and evaluation of any intervention.  We examine the concept of participation in an effort to see how different levels of involvement may affect sustainability of community change efforts. Finally a case study of a community participatory approach to onchocerciasis control in Africa is presented. Community Directed Intervention has subsequently been successfully applied to providing other essential primary health care services by and in the community, such as insecticide treated bednets, malaria treatment, vitamin A distribution, deworming medicines, and pneumonia and diarrhea case management.",Intermediate,Coursera,https://www.coursera.org/learn/community-public-health,4.7
Six Sigma Tools for Analyze,University System of Georgia,"This course will cover the Measure phase and portions of the Analyze phase of the Six Sigma DMAIC (Define, Measure, Analyze, Improve, and Control) process. You will learn about lean tools for process analysis, failure mode and effects analysis (FMEA), measurement system analysis (MSA) and gauge repeatability and reproducibility (GR&R), and you will be introduced to basic statistics. This course will outline useful measure and analysis phase tools and will give you an overview of statistics as they are related to the Six Sigma process.   The statistics module will provide you with an overview of the concepts and you will be given multiple example problems to see how to apply these concepts. Every module will include readings, discussions, lecture videos, and quizzes to help make sure you understand the material and concepts that are studied.  Our applied curriculum is built around the latest handbook The Certified Six Sigma Handbook (2nd edition) and students will develop /learn the fundamentals of Six Sigma. Registration includes online access to course content, projects, and resources but does not include the companion text The Certified Six Sigma Handbook (2nd edition). The companion text is not required to complete the assignments. However, the text is a recognized handbook used by professionals in the field. Also, it is a highly recommended text for those wishing to move forward in Six Sigma and eventually gain certification from professional agencies such as American Society for Quality (ASQ).",Beginner,Coursera,https://www.coursera.org/learn/six-sigma-analyze,4.7
REAL BONES:  Adventures in Forensic Anthropology,Princeton University,"Forensic anthropology involves medico-legal cases where human remains have lost ""personhood"" (an individual cannot be identified due to decomposition or destruction of unique personal features). We will learn techniques that biological anthropologists apply to these cases to identify certain social attributes. We will also blend both biological and social anthropology to analyze human variation and well-being in urban settings.   This course will investigate and discuss the various techniques of analysis that biological anthropologists can apply to forensic cases. Topics include human osteology, the recovery of bodies, the analysis of life history, the reconstruction of causes of death, and various case studies where anthropologists have contributed significantly to solving forensic cases. Discussions will include the limitations of forensic anthropology and the application of DNA recovery to skeletal/mummified materials.",Beginner,Coursera,https://www.coursera.org/learn/real-bones-forensic-anthropology,4.6
General Academic English,Tsinghua University,"Do you want to read and write better in English? Welcome to our course. The course consists of 6 units with different topics: art, man and nature, social issues, engineering and technology, psychology, economics and management. From this course, you will have a good knowledge of general academic English learning skills. We invite you to learn with our teachers and friends from different countries in the videos. Are you ready? Let�s go!",Intermediate,Coursera,https://www.coursera.org/learn/general-academic-english,4.1
"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,"From small farms to urban neighborhoods, from the region itself to the more distant worlds of the southern diaspora, we discover the stories, music, and art of the American South.",Beginner,Coursera,https://www.coursera.org/learn/the-south,4.4
Create Custom Layers in Keras,Coursera Project Network,"In this 1-hour long project-based course, you will learn how to create a custom layer in Keras, and create a model using the custom layer. In this project, we will create a simplified version of a Parametric ReLU layer, and use it in a neural network model. Then we will use the neural network to solve a multi-class classi?cation problem. We will also compare our activation layer with the more commonly used ReLU activation layer.   This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with (e.g. Python, Jupyter, and Tensorflow) pre-installed.  Prerequisites: In order to be successful in this project, you should be familiar with python programming, neural networks, and Keras.   Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/custom-layers-keras,4.6
Brand management in digital economy,Saint Petersburg State University,"???? ????????????? ???????, ????????? ? ??????????? ???????? ? ?????????? ??????? ? ???????? ???????? ?????????.",Intermediate,Coursera,https://www.coursera.org/learn/brand-management-in-digital-economy,0.12347254445537892
Innovating in a Digital World,Institut Mines-T�l�com,"Facebook, AirBnB, Tesla, Amazon, Uber. In just a few years, companies like these have changed the face of the global economy. Meanwhile, hundreds of thousands of start-ups are disrupting old business models, taking on centennial industrial groups � and winning. It�s clear that the rules of business have changed forever.  This MOOC provides a knowledge toolkit for the ongoing digital revolution. You�ll discover 15 concepts that are essential for understanding the new mechanisms of digital business and innovation.   Each concept is explained in its own beautifully designed, content-rich instructional video, along with additional resources for you to explore. The ideas are illustrated with up-to-the-minute case studies and examples from a wide range of industries.  Week 1 : Why Digital Changes Everything Week 2 : Creating Value in a Digital World  Week 3 : Thinking and Acting Differently Week 4 : Entrepreneurship in a Digital World  This MOOC is ideal for learners from a wide range of backgrounds. It is brought to you by four expert professors and researchers from Telecom ParisTech, a leading European graduate school in the field of digital technology and social science.  This MOOC is supported by the Patrick and Lina Drahi Foundation.",Intermediate,Coursera,https://www.coursera.org/learn/innovating-digital-world,4.6
Introduction to Communication Science,University of Amsterdam,"Since Antiquity, scholars have appreciated the importance of communication: as social beings, we cannot exist without communication. We need to interact with people around us, to make sense of the world and to position ourselves in a wider social and cultural reality. In this course, we look at how and why communication evolved as a science and reflect on today�s dominant paradigms. The course also extends beyond the boundaries of communication science itself, exploring dimensions of history, sociology and psychology. Join our class, together with people all over the world.  Introduction to Communication Science explores some of the basic theories, models and concepts from the fields of mass, interpersonal and intrapersonal communication. The course begins with a consideration of several basic models, subsequently progressing to the history of communication theory, linear effect-oriented theories, the reception approach and, finally, exploring theories on the production and reinforcement of culture through communication.   Upon completion of this course, students should: �\thave knowledge of the history and development of communication science;  �\thave knowledge of the dominant theoretical approaches within communication science;  �\thave knowledge and understanding of the most important models and concepts in this field.   Beginning the week of February 16, 2015, you will be able to join Signature Track, a system that verifies your identity when you take an exam. This option will allow you to earn a Verified Certificate, which provides formal recognition of your achievements in the course and includes the University of Amsterdam logo. Before then, you can complete a �test run� of the exam. You can then re-take the exam after the Verified Certificate becomes available. For information regarding Verified Certificates, see https://courserahelp.zendesk.com/hc/en-us/articles/201212399-Verified-Certificates""",Advanced,Coursera,https://www.coursera.org/learn/communication,4.6
Optimization of Topic Models using Grid Search Method,Coursera Project Network,"In this 2-hour long project-based course, you will learn how to optimize a topic model to achieve best fit using Grid Search method. Topic modelling is an efficient unsupervised machine learning tool that aids in analyzing the latent themes from text datasets. But it is also necessary to learn to optimize the models to obtain the best fit model in order to achieve better interpretable themes to gain meaningful insights. In this project you will learn about the statistical parameters to gauge the model quality and create interactive visualization of the themes for a more intuitive evaluation of topic models. The focus of this project is primarily from an application point of view instead of underlying statistical mechanisms.     Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/optimization-of-topic-models-using-grid-search-method,4.3
Sports and Building Aerodynamics,Eindhoven University of Technology,"COURSE ABSTRACT:  Have we reached the boundaries of what can be achieved in sports and building design? The answer is definitely �NO�. This course explains basic aspects of bluff body aerodynamics, wind tunnel testing and Computational Fluid Dynamics (CFD) simulations with application to sports and building aerodynamics. It is intended for anyone with a strong interest in these topics. Key fields addressed are urban physics, wind engineering and sports aerodynamics.  COURSE CONTENTS: The course consists of 6 weeks. The first 3 weeks are on fundamentals, the second 3 weeks on applications. - Week 1: Basic aspects of fluid flow - Week 2: Wind-tunnel testing - Week 3: Computational Fluid Dynamics - Week 4: Building aerodynamics - Week 5: 100 m sprint aerodynamics - Week 6: Cycling aerodynamics  COURSE UPGRADES: In January-February 2017, the course will be upgraded/extended with: - New modules on cycling aerodynamics - Week 7: Climate adaptation of buildings and cities - Week 8: Air pollution If you want to take the upgraded/extended course, please wait with enrollment until mid February.  LECTURER: The lecturer is Bert Blocken, professor at Eindhoven University of Technology in the Netherlands and KU Leuven in Belgium. He is a Civil Engineer holding a PhD in Building Physics. His main areas of expertise are urban physics, wind engineering and sports aerodynamics. He has published 126 papers in international peer-reviewed journals. He has received the 2013 Junior Award from the International Association of Wind Engineering and six best paper awards from the Elsevier ISI journal Building & Environment (2009, 2011, 2012) and at international conferences. According to the 2016 Academic Ranking of World Universities (Shanghai Ranking) & Elsevier, he is among the 150 most cited researchers world-wide both in the field of Civil Engineering and in the field of Energy Science & Engineering. Since Dec 2016, he is editor of the ISI journal Building & Environment and starting 2017, he is also associate editor of the ISI Journal of Wind Engineering & Industrial Aerodynamics. He is member of the editorial board of the ISI journals Building Simulation and Sports Engineering. He has acted as a reviewer for more than 70 different ISI journals. He is currently supervising a team of 4 senior researchers, 32 PhD students and 5 MSc students.",Intermediate,Coursera,https://www.coursera.org/learn/sports-building-aerodynamics,4.8
Organisational design: Know your organisation,Macquarie University,"How do you lead your organisation when today�s work environment is so competitive and complex? When you become responsible for leading an organisation, your most important leadership challenge will be enabling your organisation to deliver on its strategy while ensuring it remains sufficiently agile. This course will prepare you to tackle this challenge. You will examine what organisational culture is, the primary organisational structures, and what we mean by �systems�, before building on your foundational knowledge and taking a more strategic perspective. The structured learning activities that complement this course (video lectures, quizzes, discussion prompts and written assessments) will not only prepare you to take your organisation forward in a more strategic direction, but to make better decisions along the way.",Beginner,Coursera,https://www.coursera.org/learn/organisational-design-know-your-organisation,4.8
Learn to Teach Java:  Writing Classes and Arrays,University of California San Diego,"Learn to program using Class design and 1-D Arrays in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the critical Java concepts of class design and 1-dimensional arrays, as covered in the APCS A Units 5 and 6.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",Advanced,Coursera,https://www.coursera.org/learn/teach-java-classes-arrays,4.6
Plots (Graphics) for Data Science,Coursera Project Network,"In this two-hour long project-based course, you will learn Data Visualization techniques in Data Science. By the end of this project, you will have created and visualized scatter plots, line plots, bar charts, subplots, box plots, histograms, heat maps, and animations.  This class is for learners who want to use Python for Data Visualization and Plots, and for learners who are currently taking a basic machine learning course or have already finished a machine learning course and are searching for a practical data visualization project course. Also, this project provides learners with basic knowledge about data visualization techniques and improves their skills in creating various types of charts and plots which helps them in fulfilling their career goals by adding this project to their portfolios.",Beginner,Coursera,https://www.coursera.org/learn/plots-graphics-for-data-science,4.2
The Sun and the Total Eclipse of August 2017,University of Colorado Boulder,"A total eclipse is one of the most spectacular sights you can ever see!  It looks like the end of the world may be at hand. There is a black hole in the sky where the sun should be. Pink flames of solar prominences and long silver streamers of the sun's corona stretch across the sky. It gets cold, and animals do strange things. People scream and shout and cheer, and remember the experience their whole life.  But total eclipses are important scientifically as well. They let us see parts of the sun�s atmosphere that are otherwise invisible. A total eclipse presented the first chance to test Einstein�s prediction that matter can bend space � like near a black hole. The best total eclipse in the United States in 40 years happens August 21st, 2017.    This course has two primary goals:   1) to get you excited for the total solar eclipse coming in August 2017 and prepare you and your community to safely view it  2) to provide an inviting overview of the science of the sun and the physics of light  If you are most interested in preparing for the eclipse, you can hop right into Week 5! If you want the full course experience, and to get some fun scientific context for what you'll be seeing on August 21st, start with Week 1 and move through the course week by week!  [Note: if you start with Week 1, you can skip through some of the repeated material once you get to Week 5.]  Overall this course will prepare you to...   * Safely view the total or partial solar eclipse * Help others watch safely and even make money by leading a �neighborhood watch� of the eclipse * Review fundamental sun science, including the physics of light, how astronomers study the sun, how it formed, how we know what�s inside it, and where the energy that supports life on earth is generated",Beginner,Coursera,https://www.coursera.org/learn/eclipse,4.6
Material Behavior,Georgia Institute of Technology,"Have you ever wondered why ceramics are hard and brittle while metals tend to be ductile?  Why some materials conduct heat or electricity while others are insulators?  Why adding just a small amount of carbon to iron results in an alloy that is so much stronger than the base metal?  In this course, you will learn how a material�s properties are determined by the microstructure of the material, which is in turn determined by composition and the processing that the material has undergone.  This is the first of three Coursera courses that mirror the Introduction to Materials Science class that is taken by most engineering undergrads at Georgia Tech.  The aim of the course is to help students better understand the engineering materials that are used in the world around them.  This first section covers the fundamentals of materials science including atomic structure and bonding, crystal structure, atomic and microscopic defects, and noncrystalline materials such as glasses, rubbers, and polymers.",Beginner,Coursera,https://www.coursera.org/learn/material-behavior,4.7
Disaster Preparedness,University of Pittsburgh,"Have you ever viewed a news report depicting the aftermath of a devastating natural disaster? The damage to human life and property are both staggering and heartbreaking. All parts of the world face the possibility of floods, hurricanes, tornados, fires, landslides, earthquakes, tsunamis, and other natural phenomena. Are you prepared if disaster would strike you? This course will help you prepare!  The course is appropriate for any learner who is proactive about developing the core competencies of disaster readiness and survival planning. It is especially useful if you are seeking techniques that can ensure your personal protection, as well as the safety of your family, property, and belongings, during a natural disaster. In addition, it offers essential preparation for a variety of emergency situations and inconveniences, even if you do not live in major tornado, flood, hurricane, tsunami, or earthquake zone. For instance, could you and your loved ones manage without access to potable water, electricity, fuel, and banking facilities? If you are unsure of your ability to respond in any of these possible scenarios, this course is for you!  Throughout the course, you will be introduced to the Disaster Cycle, specifically the Mitigation and Recovery phases, and will create an extensive personal preparedness plan for survival in the absence of common amenities, such as food and water, shelter, and communication. You will also acquire practical, easy-to-apply strategies for maintaining a healthy attitude during disaster which can allow you to remain calm, avoid panic, and draw upon inner and outer resources in dire circumstances. Although death may be an inevitable outcome of extreme circumstances, a balanced outlook can provide comfort for all parties involved. Finally, issues of how institutions and governments can aid in disaster are also discussed. If you are interested in this topic you may be interested in other online programs at the University of Pittsburgh School of Nursing. Learn more about those programs by visiting our website: http://www.online.pitt.edu/programs/school-of-nursing/",Beginner,Coursera,https://www.coursera.org/learn/disaster-preparedness,4.6
Protecting Business Innovations via Trademark,The Hong Kong University of Science and Technology,"Protecting Business Innovations Via Trademark  Watch Course Overview:  https://youtu.be/mUja4iwbrTE  Intellectual property rights (IPR) has a great impact on innovation development and society. In Science, Engineering, and Business, we seek to create wealth through innovation in products, designs, manufacturing processes, and business systems or models. However, innovation leaders often FAIL to benefit from their discoveries and inventions when they are unable to adequately protect those innovations.   This course provides learners with an understanding of how trademark laws can be used to protect business innovation using a combination of lectures and case examples for discussion.  The course focus on protecting innovations with Trademark as one of several tools that can be used by companies to protect their brands and products.  In additional to learning about how trademark law works in theory, we will also discuss situations in which trademark might not be effective in protecting innovations, and will focus on the legal issues involved from a practical business perspective rather than from a purely legal viewpoint.  This course is one part of a four course series focusing on protection of business innovations using copyright, patent, trademark and strategy, and these four courses may be taken in any order that is most beneficial to students interested in learning about protecting innovation.",Intermediate,Coursera,https://www.coursera.org/learn/protect-business-innovations-trademark,4.8
Fundamentals of the Chinese character writing (Part 1),Saint Petersburg State University,"The course gives a concise survey of the Chinese character-writing tradition. You�ll master the fundamentals of the Chinese writing aesthetics; learn about the main phases of the characters� evolution and about the great calligraphers of the past. You are going to distinguish 6 types of the Chinese written symbols, become skilled in history of Chinese scripts and possibility of their modern usage. You�ll get the explanation of the 214 Chinese character radicals (the first part in Part 1 of the Course, the second � in Part 2) and can practice their writing, using the animated and static samples given in videos and on pages. Elaborate tests are going to help you regularizing the new information and filling the lacunae.  Welcome to the mysterious world of the Chinese characters! You will definitely love it!",Beginner,Coursera,https://www.coursera.org/learn/chinese-character-writing,4.0
